x0,x1,y0,y1,v,a,r
473.0,617.0,-56.0,-29.0,-9.0,1.0,1.0
469.0,613.0,-47.0,-20.0,-9.0,1.0,1.0
465.0,609.0,-38.0,-11.0,-9.0,1.0,1.0
461.0,605.0,-29.0,-2.0,-9.0,1.0,1.0
457.0,601.0,-20.0,7.0,-9.0,1.0,1.0
453.0,597.0,-11.0,16.0,-8.0,0.0,1.0
449.0,593.0,-3.0,24.0,-7.0,0.0,1.0
445.0,589.0,4.0,31.0,-6.0,0.0,1.0
441.0,585.0,10.0,37.0,-5.0,0.0,1.0
437.0,581.0,15.0,42.0,-4.0,0.0,1.0
433.0,577.0,19.0,46.0,-3.0,0.0,1.0
429.0,573.0,22.0,49.0,-2.0,0.0,1.0
425.0,569.0,24.0,51.0,-1.0,0.0,1.0
421.0,565.0,25.0,52.0,0.0,0.0,1.0
417.0,561.0,25.0,52.0,1.0,0.0,1.0
413.0,557.0,24.0,51.0,2.0,0.0,1.0
409.0,553.0,22.0,49.0,3.0,0.0,1.0
405.0,549.0,19.0,46.0,4.0,0.0,1.0
401.0,545.0,15.0,42.0,5.0,0.0,1.0
397.0,541.0,10.0,37.0,6.0,0.0,1.0
393.0,537.0,4.0,31.0,7.0,0.0,1.0
389.0,533.0,-3.0,24.0,8.0,0.0,1.0
385.0,529.0,-11.0,16.0,9.0,0.0,1.0
381.0,525.0,-20.0,7.0,10.0,0.0,1.0
377.0,521.0,-30.0,-3.0,10.0,0.0,1.0
373.0,517.0,-21.0,6.0,-9.0,1.0,1.0
369.0,513.0,-12.0,15.0,-8.0,0.0,1.0
365.0,509.0,-4.0,23.0,-7.0,0.0,1.0
361.0,505.0,3.0,30.0,-6.0,0.0,1.0
357.0,501.0,9.0,36.0,-5.0,0.0,1.0
353.0,497.0,14.0,41.0,-4.0,0.0,1.0
349.0,493.0,18.0,45.0,-3.0,0.0,1.0
345.0,489.0,21.0,48.0,-2.0,0.0,1.0
341.0,485.0,23.0,50.0,-1.0,0.0,1.0
337.0,481.0,24.0,51.0,0.0,0.0,1.0
333.0,477.0,24.0,51.0,1.0,0.0,1.0
329.0,473.0,23.0,50.0,2.0,0.0,1.0
325.0,469.0,21.0,48.0,3.0,0.0,1.0
321.0,465.0,18.0,45.0,4.0,0.0,1.0
317.0,461.0,14.0,41.0,5.0,0.0,1.0
313.0,457.0,9.0,36.0,6.0,0.0,1.0
309.0,453.0,3.0,30.0,7.0,0.0,1.0
305.0,449.0,-4.0,23.0,8.0,0.0,1.0
301.0,445.0,-12.0,15.0,9.0,0.0,1.0
297.0,441.0,-21.0,6.0,10.0,0.0,1.0
293.0,437.0,-31.0,-4.0,10.0,0.0,1.0
289.0,433.0,-22.0,5.0,-9.0,1.0,1.0
285.0,429.0,-13.0,14.0,-8.0,0.0,1.0
281.0,425.0,-5.0,22.0,-7.0,0.0,1.0
277.0,421.0,2.0,29.0,-6.0,0.0,1.0
273.0,417.0,8.0,35.0,-5.0,0.0,1.0
269.0,413.0,13.0,40.0,-4.0,0.0,1.0
265.0,409.0,17.0,44.0,-3.0,0.0,1.0
261.0,405.0,20.0,47.0,-2.0,0.0,1.0
257.0,401.0,22.0,49.0,-1.0,0.0,1.0
253.0,397.0,23.0,50.0,0.0,0.0,1.0
249.0,393.0,23.0,50.0,1.0,0.0,1.0
245.0,389.0,22.0,49.0,2.0,0.0,1.0
241.0,385.0,20.0,47.0,3.0,0.0,1.0
237.0,381.0,17.0,44.0,4.0,0.0,1.0
233.0,377.0,13.0,40.0,5.0,0.0,1.0
229.0,373.0,8.0,35.0,6.0,0.0,1.0
225.0,369.0,2.0,29.0,7.0,0.0,1.0
221.0,365.0,-5.0,22.0,8.0,0.0,1.0
217.0,361.0,-13.0,14.0,9.0,0.0,1.0
213.0,357.0,-22.0,5.0,10.0,0.0,1.0
209.0,353.0,-32.0,-5.0,10.0,0.0,1.0
205.0,349.0,-23.0,4.0,-9.0,1.0,1.0
201.0,345.0,-14.0,13.0,-8.0,0.0,1.0
197.0,341.0,-6.0,21.0,-7.0,0.0,1.0
193.0,337.0,1.0,28.0,-6.0,0.0,1.0
189.0,333.0,7.0,34.0,-5.0,0.0,1.0
185.0,329.0,12.0,39.0,-4.0,0.0,1.0
181.0,325.0,16.0,43.0,-3.0,0.0,1.0
177.0,321.0,19.0,46.0,-2.0,0.0,1.0
173.0,317.0,21.0,48.0,-1.0,0.0,1.0
169.0,313.0,22.0,49.0,0.0,0.0,1.0
165.0,309.0,22.0,49.0,1.0,0.0,1.0
161.0,305.0,21.0,48.0,2.0,0.0,1.0
157.0,301.0,19.0,46.0,3.0,0.0,1.0
153.0,297.0,16.0,43.0,4.0,0.0,1.0
149.0,293.0,12.0,39.0,5.0,0.0,1.0
145.0,289.0,7.0,34.0,6.0,0.0,1.0
141.0,285.0,1.0,28.0,7.0,0.0,1.0
137.0,281.0,-6.0,21.0,8.0,0.0,1.0
133.0,277.0,-14.0,13.0,9.0,0.0,1.0
129.0,273.0,-23.0,4.0,10.0,0.0,1.0
125.0,269.0,-33.0,-6.0,10.0,0.0,1.0
121.0,265.0,-24.0,3.0,-9.0,1.0,1.0
117.0,261.0,-15.0,12.0,-8.0,0.0,1.0
113.0,257.0,-7.0,20.0,-7.0,0.0,1.0
109.0,253.0,0.0,27.0,-6.0,0.0,1.0
105.0,249.0,6.0,33.0,-5.0,0.0,1.0
101.0,245.0,11.0,38.0,-4.0,0.0,1.0
97.0,241.0,15.0,42.0,-3.0,0.0,1.0
93.0,237.0,18.0,45.0,-2.0,0.0,1.0
89.0,233.0,20.0,47.0,-1.0,0.0,1.0
85.0,229.0,21.0,48.0,0.0,0.0,1.0
81.0,225.0,21.0,48.0,1.0,0.0,1.0
77.0,221.0,20.0,47.0,2.0,0.0,1.0
73.0,217.0,18.0,45.0,3.0,0.0,1.0
69.0,213.0,15.0,42.0,4.0,0.0,1.0
65.0,209.0,11.0,38.0,5.0,0.0,1.0
61.0,205.0,6.0,33.0,6.0,0.0,1.0
57.0,201.0,0.0,27.0,7.0,0.0,1.0
53.0,197.0,-7.0,20.0,8.0,0.0,1.0
49.0,193.0,-15.0,12.0,9.0,0.0,1.0
45.0,189.0,-24.0,3.0,10.0,0.0,1.0
41.0,185.0,-34.0,-7.0,10.0,0.0,1.0
37.0,181.0,-25.0,2.0,-9.0,1.0,1.0
33.0,177.0,-16.0,11.0,-8.0,0.0,1.0
29.0,173.0,-8.0,19.0,-7.0,0.0,1.0
25.0,169.0,-1.0,26.0,-6.0,0.0,1.0
21.0,165.0,5.0,32.0,-5.0,0.0,1.0
17.0,161.0,10.0,37.0,-4.0,0.0,1.0
13.0,157.0,14.0,41.0,-3.0,0.0,1.0
9.0,153.0,17.0,44.0,-2.0,0.0,1.0
5.0,149.0,19.0,46.0,-1.0,0.0,1.0
1.0,145.0,20.0,47.0,0.0,0.0,1.0
141.0,0.0,47.0,0.0,1.0,0.0,1.0
137.0,287.0,46.0,16.0,2.0,0.0,1.0
133.0,283.0,44.0,14.0,3.0,0.0,1.0
129.0,279.0,41.0,11.0,4.0,0.0,1.0
125.0,275.0,37.0,7.0,5.0,0.0,1.0
121.0,271.0,32.0,2.0,6.0,0.0,1.0
117.0,267.0,26.0,-4.0,7.0,0.0,1.0
113.0,263.0,19.0,-11.0,8.0,0.0,1.0
109.0,259.0,11.0,-19.0,9.0,0.0,1.0
105.0,255.0,2.0,-28.0,10.0,0.0,1.0
101.0,251.0,-8.0,-38.0,10.0,0.0,1.0
97.0,247.0,-18.0,-48.0,10.0,0.0,1.0
93.0,243.0,-28.0,-58.0,10.0,0.0,1.0
89.0,239.0,-19.0,-49.0,-9.0,1.0,1.0
